time,stress,shearX,shearY,grip,angle,rawStress,rawShearX,rawShearY,rawGrip,rawAngle
02:25:14:19:02:54410,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:181439,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:308963,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:434199,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:560677,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:685979,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:812316,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:02:938476,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:64497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:190115,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:315702,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:439658,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:561363,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:685878,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:810302,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:03:935725,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:60107,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:189015,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:314591,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:439683,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:565095,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:689605,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:816665,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:04:941347,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:65607,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:189897,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:314391,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:438788,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:557704,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:677677,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:803075,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:05:927239,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:52928,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:177286,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:302557,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:427555,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:552289,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:676715,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:803067,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:06:926751,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:51687,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:183891,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:309085,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:436182,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:557864,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:683423,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:808595,200.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:07:932938,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:08:57753,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:08:186524,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:08:311548,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:08:436082,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:08:561438,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
